URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.3.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/fiji-practitioner,StructureDefinition/fiji-patient","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-category,4.3.0,draft,"2.16.840.1.113883.4.642.3.133",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","StructureDefinition/FijiAllergyIntolerance","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality,4.3.0,draft,"2.16.840.1.113883.4.642.3.129",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","StructureDefinition/FijiAllergyIntolerance","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.131",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","StructureDefinition/FijiAllergyIntolerance","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/allergyintolerance-clinical,4.3.0,draft,"2.16.840.1.113883.4.642.3.1372",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","StructureDefinition/FijiAllergyIntolerance","THO"
http://hl7.org/fhir/ValueSet/allergyintolerance-code,4.3.0,draft,"2.16.840.1.113883.4.642.3.137",AllergyIntoleranceSubstance/Product,ConditionAndNegationCodes,AllergyIntolerance Substance/Product, Condition and Negation Codes,"This value set includes concept codes for specific substances/pharmaceutical products, allergy or intolerance conditions, and negation/exclusion codes to specify the absence of specific types of allergies or intolerances.","StructureDefinition/FijiAllergyIntolerance","SCT"
http://hl7.org/fhir/ValueSet/allergyintolerance-verification,4.3.0,draft,"2.16.840.1.113883.4.642.3.1370",AllergyIntoleranceVerificationStatusCodes,AllergyIntolerance Verification Status Codes,"Preferred value set for AllergyIntolerance Verification Status.","StructureDefinition/FijiAllergyIntolerance","THO"
http://hl7.org/fhir/ValueSet/body-site,4.3.0,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/FijiCondition","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,4.3.0,active,"2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who interacted with, treated, or provided a service to/for the patient. The value set used for clinical specialty has been limited by HITSP to the value set reproduced from HITSP C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/fiji-practitioner-role","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,4.3.0,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/FijiAllergyIntolerance","SCT"
http://hl7.org/fhir/ValueSet/condition-category,4.3.0,draft,"2.16.840.1.113883.4.642.3.162",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/FijiCondition","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,4.3.0,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/FijiCondition","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.3.0,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/FijiCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,4.3.0,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/FijiCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.3.0,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/FijiCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/FijiCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.3.0,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/FijiCondition","THO"
http://hl7.org/fhir/ValueSet/contactentity-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/FijiOrganization","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.3.0,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/fiji-practitioner-role","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/languages,4.3.0,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/FijiCondition,StructureDefinition/FijiAllergyIntolerance,StructureDefinition/fiji-practitioner-role,StructureDefinition/FijiOrganization,StructureDefinition/fiji-practitioner,StructureDefinition/fiji-patient","Other"
http://hl7.org/fhir/ValueSet/link-type,4.3.0,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/fiji-patient","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.3.0,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/FijiCondition","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.3.0,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/fiji-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.3.0,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/fiji-practitioner","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/organization-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/FijiOrganization","THO"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.3.0,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship,"The nature of the relationship between the patient and the contact person.","StructureDefinition/fiji-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/practitioner-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.439",PractitionerRole,Practitioner role,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","StructureDefinition/fiji-practitioner-role","SCT,THO"
http://hl7.org/fhir/ValueSet/reaction-event-severity,4.3.0,draft,"2.16.840.1.113883.4.642.3.135",AllergyIntoleranceSeverity,AllergyIntoleranceSeverity,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","StructureDefinition/FijiAllergyIntolerance","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/route-codes,4.3.0,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/FijiAllergyIntolerance","SCT"
http://hl7.org/fhir/ValueSet/substance-code,4.3.0,draft,"2.16.840.1.113883.4.642.3.473",SubstanceCode,Substance Code,"This value set contains concept codes for specific substances. It includes codes from [SNOMED](http://snomed.info/sct) where concept is-a 105590001 (Substance (substance))","StructureDefinition/FijiAllergyIntolerance","SCT"
http://terminology.hl7.org/ValueSet/v2-2.7-0360,0360,active,,v2.0360.2.7,v2 table 0360, Version 2.7,"FHIR Value set/code system definition for HL7 v2 table 0360 ver 2.9 ( Degree/License/Certificate)","StructureDefinition/fiji-practitioner","THO (V2)"
